user_id,username,email,age,gender,product_id,action,title,url,price
48c89d3e-6202-4fb3-a582-09436a4aa84a,evansbrenda,jessewalton@example.com,19,Male,07253b2a-373f-5fcf-af73-d2cf0ebadfbd,view,"Trinetra Back Cover for Vivo Y83 Pro (H / Letter / Alphabet / Name)  (Black, Hard Case)",https://www.flipkart.com/trinetra-back-cover-vivo-y83-pro-h-letter-alphabet-name/p/itm74cc61f30fdf2,229
dc2384b5-e32e-40a7-a417-f21017b37966,garciarebecca,rachel91@example.net,52,Female,e5ce3215-8934-58f7-97a5-5a90b2e28b73,view,"Yoprint Back Cover for vivo 1935/Y50 apna time aayega, best text back cover  (Multicolor, Shock Proof)",https://www.flipkart.com/yoprint-back-cover-vivo-1935-y50-apna-time-aayega-best-text/p/itmdb38d51c50589,230
6e46188a-5201-4cd5-b1eb-cb73d7ce4470,jacksonrobert,montoyasarah@example.org,32,Male,af3f088b-7da2-5072-a7eb-66fb62a02b35,purchase,Lord's Calcarea Oxalica 3X Tablets  (3 x 450 g),https://www.flipkart.com/lord-s-calcarea-oxalica-3x-tablets/p/itmc64af57df38fa,"2,520"
15f4746a-b819-48ed-bd4b-503b6c52e159,lallen,adammiller@example.net,20,Male,3afc248a-335b-5552-9a5c-7e5070a98acf,like,"CoverViz Back Cover for Oppo Reno 5Pro  (Multicolor, Hard Case)",https://www.flipkart.com/coverviz-back-cover-oppo-reno-5pro/p/itm6ea116bfa3734,249
8f1df1f2-3a8f-4651-bc46-79d1562db677,nathansmith,stevensharp@example.net,55,Female,ab78cf53-60d6-5dee-a0d7-fc0eb5328707,purchase,"RPSENTTERPR Waterproof Two Wheeler Cover for Royal Enfield  (Continental GT, Grey)",https://www.flipkart.com/rpsentterpr-waterproof-two-wheeler-cover-royal-enfield/p/itm5fec62f521b1b,303
089b0738-c001-4542-b75b-30d1dcd812cf,jennifer44,jason13@example.org,54,Male,681c8b08-fdf8-5235-bd4c-4621ed7006ce,view,"WOELLO Back Cover for Itel A25 Back Cover  (Multicolor, Grip Case, Silicon)",https://www.flipkart.com/woello-back-cover-itel-a25/p/itm9e3a421094928,229
9083b45d-9bde-4b61-84f9-bb1435cab9ad,andrew90,nicholas14@example.net,56,Female,7d3ab500-31ae-522c-88e7-36e70cd16967,view,GADGETSWRAP Poco M3 Pro Mobile Skin  (Multicolor),https://www.flipkart.com/gadgetswrap-poco-m3-pro-mobile-skin/p/itm0ceb217e838fd,299
7a710a50-74d0-48dd-a10b-f7d325fb8a42,sriley,evanjohnson@example.org,60,Female,2b659e17-0a4d-503c-ad01-c18a0e123a18,like,Coberta® Back Cover for OnePlus 6T  (Multicolor),https://www.flipkart.com/coberta-back-cover-oneplus-6t/p/itmf51cf03f4277e,199
5a60feda-1312-4dcd-ac6e-d39690fb4731,jameswheeler,james39@example.org,27,Male,0dce269e-d30d-55a2-a64a-c73b12040035,view,Floarkart Pure Shilajit Sexual Supplement For Men Women Improves Extra Energy Strength,https://www.flipkart.com/floarkart-pure-shilajit-sexual-supplement-men-women-improves-extra-energy-strength/p/itm28ac0313422c6,229
cd3d94cd-7b93-4001-bcf3-52aef468a41e,dawn45,xbailey@example.net,59,Female,a15f7a7b-8169-5639-97b6-91a5595c7ffc,purchase,"TPM Back Cover for Realme C21, RMX3202, baloon heart, red hearts, love, for her  (Multicolor, Hard Case)",https://www.flipkart.com/tpm-back-cover-realme-c21-rmx3202-baloon-heart-red-hearts-love-her/p/itm090cad679752e,251
531caf09-a9d6-4dda-afa1-081bc3f29037,justintaylor,alexisalexander@example.org,39,Male,0110e40b-1279-508a-9183-614184431a28,like,"Printed Daily Wear Georgette Saree  (Pack of 3, Multicolor)",https://www.flipkart.com/printed-daily-wear-georgette-saree/p/itm899eda7857db9,649
199626a4-a67c-4f53-93f9-a62f23d5027e,fostermichael,pacedaniel@example.com,40,Female,05a324ce-52bd-5d8d-a2f2-dd52a3278827,purchase,SVENMAR Flip Cover for Samsung Galaxy J6 Plus  (Blue),https://www.flipkart.com/svenmar-flip-cover-samsung-galaxy-j6-plus/p/itm5f1b6f12236fe,234
99d1b6df-9a46-4dfb-b516-9d62dd606e33,mary01,curtisbrian@example.org,50,Female,3f8a411a-2c26-5fea-a0ae-ee44dd75aec0,view,SY Gifts Back Cover for Apple iPhone 7  (Multicolor),https://www.flipkart.com/sy-gifts-back-cover-apple-iphone-7/p/itm99e6ac4c0b9cd,199
9f4d6593-d095-4cac-8f3d-6da0dddad5de,ycruz,lauravalentine@example.net,52,Female,6d0b374e-04f2-5b22-aed1-8c8f5426dea7,view,Exclusivebay Back Cover for Samsung A60  (Multicolor),https://www.flipkart.com/exclusivebay-back-cover-samsung-a60/p/itmec437c6259ba5,219
96285f62-6349-4aed-9f9f-9c362435ce26,ohanna,williamsshirley@example.org,39,Other,b0a39c1e-e03d-5962-80e9-1fdb45d6cd68,view,"shonababy Back Cover for Vivo Y81  (Multicolor, 3D Case)",https://www.flipkart.com/shonababy-back-cover-vivo-y81/p/itm35c3b77595982,215
edf78558-e123-4146-b16a-edbb1f3e5327,meganhill,michaelsanchez@example.org,54,Female,8f816b47-46fc-5118-b06e-49c6a6af10a0,view,TIERNO Women Brown Satchel,https://www.flipkart.com/tierno-women-brown-satchel/p/itm3573a4c422658,399
c73b19d0-fe1a-48b7-9a89-f9ac8d4807d4,pvargas,pwood@example.com,59,Male,2f3b62a8-02e4-57fb-9a00-0b9985aa904d,purchase,"Games of Technology Back Cover for Coolpad Dazen Note 3  (Multicolor, Hard Case)",https://www.flipkart.com/games-technology-back-cover-coolpad-dazen-note-3/p/itmfdrdwzmm5g4cf,199
56b7e223-ebc6-483e-b151-35205dfe68eb,fowlergeorge,robertsdavid@example.net,45,Female,43020428-4102-53bd-aae9-66c2c507db5b,view,ZTech Car Cover For Volkswagen Universal For Car (Without Mirror Pockets)  (Grey),https://www.flipkart.com/ztech-car-cover-volkswagen-universal-without-mirror-pockets/p/itmb380ec6b7fb8f,999
0515d719-1971-4216-a254-2a8ebbc7ea20,eric05,lcox@example.com,51,Male,f46fa72d-4aa1-5085-be3d-caa36cc77d6a,purchase,"COBIERTAS Back Cover for Samsung Galaxy J6  (Multicolor, Hard Case)",https://www.flipkart.com/cobiertas-back-cover-samsung-galaxy-j6/p/itm1433eba31369f,219
832af914-0a12-43f9-8518-acc1d82c8eb4,dholloway,christopher62@example.net,23,Female,c521e3ee-c8bd-5b8d-924f-fb9a2db72242,purchase,NIKOLA Watch & Belt Combo  (Multicolor),https://www.flipkart.com/nikola-watch-belt-combo/p/itm19187127c7bf7,492
859d724a-3247-4335-a0d3-31771e952bd7,ryanstewart,johnsonveronica@example.net,50,Female,72c74707-f6bd-5b29-ae30-6b79f876db39,like,"CoverViz Back Cover for OPPO Reno 2z  (Multicolor, Hard Case)",https://www.flipkart.com/coverviz-back-cover-oppo-reno-2z/p/itme4681de98ecb2,249
